time	V(1_a1)	V(2_a0)	V(3_b1)	V(4_b0)	V(5_c0)	V(6_q1)	V(7_q0)
1.000349291386687e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	6.300403e-005	3.651221e-002	4.550303e+000
1.000373242396904e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	5.238950e-005	4.090989e-002	4.379653e+000
1.000403398101432e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	4.038819e-005	4.591499e-002	4.151474e+000
1.000425892792641e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	3.263567e-005	4.919174e-002	3.973838e+000
1.000452813179616e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	2.482033e-005	5.250758e-002	3.753683e+000
1.000480077761357e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	1.842478e-005	5.526707e-002	3.524209e+000
1.000522662720386e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	1.096384e-005	5.865639e-002	3.156229e+000
1.000574667819050e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	4.798776e-006	6.174942e-002	2.697037e+000
1.000638958258881e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	3.092711e-007	6.449161e-002	2.125970e+000
1.000705800570304e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-2.079259e-006	6.665982e-002	1.556030e+000
1.000766741646082e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-2.973519e-006	6.828048e-002	1.098668e+000
1.000828305731123e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-3.211819e-006	6.957313e-002	7.298968e-001
1.000883981408477e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-3.121449e-006	7.024871e-002	4.867710e-001
1.000945429671832e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-2.840261e-006	7.021318e-002	3.004128e-001
1.000987232830924e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-2.616372e-006	6.964666e-002	2.110393e-001
1.001013125968693e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-2.484861e-006	6.920612e-002	1.701833e-001
1.001031234204781e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-2.400344e-006	6.912759e-002	1.472175e-001
