time	V(vin)	V(n001)
2.000000000961249e-002	4.806244e-002	5.000143e+000
2.000000002883746e-002	1.441873e-001	5.000430e+000
2.000000029798712e-002	1.489936e+000	5.004436e+000
2.000000060558672e-002	3.027934e+000	5.008975e+000
2.000000100000000e-002	5.000000e+000	5.014741e+000
2.000000100086758e-002	5.000000e+000	5.014740e+000
2.000000100260273e-002	5.000000e+000	5.014740e+000
2.000005785663767e-002	5.000000e+000	4.987380e+000
2.000011471414291e-002	5.000000e+000	4.960024e+000
2.000017167443969e-002	5.000000e+000	4.932618e+000
2.000028559503325e-002	5.000000e+000	4.877800e+000
2.000045281042530e-002	5.000000e+000	4.797337e+000
2.000057854330074e-002	5.000000e+000	4.736869e+000
2.000074678707249e-002	5.000000e+000	4.656051e+000
2.000108327461600e-002	5.000000e+000	4.494749e+000
2.000175624970301e-002	5.000000e+000	4.173458e+000
2.000310219987705e-002	5.000000e+000	3.536556e+000
2.000468318147809e-002	5.000000e+000	2.809932e+000
2.000633005576675e-002	5.000000e+000	2.113894e+000
2.000807373278508e-002	5.000000e+000	1.495278e+000
2.001007470745128e-002	5.000000e+000	9.730073e-001
2.001297174952549e-002	5.000000e+000	4.650503e-001
2.001447296881833e-002	5.000000e+000	2.973003e-001
2.001571207255527e-002	5.000000e+000	2.122527e-001
2.001715677779282e-002	5.000000e+000	1.440845e-001
2.001868464140752e-002	5.000000e+000	9.455631e-002
2.002015798016932e-002	5.000000e+000	6.254704e-002
2.002157386074788e-002	5.000000e+000	4.201909e-002
2.002296875353463e-002	5.000000e+000	2.841530e-002
2.002436110442866e-002	5.000000e+000	1.922710e-002
2.002574835579933e-002	5.000000e+000	1.302350e-002
2.002713665456955e-002	5.000000e+000	8.816279e-003
2.002851767891471e-002	5.000000e+000	5.978955e-003
2.002989974045882e-002	5.000000e+000	4.053677e-003
2.003127822819824e-002	5.000000e+000	2.750832e-003
2.003265833750102e-002	5.000000e+000	1.865882e-003
2.003403611426269e-002	5.000000e+000	1.266355e-003
2.003541509049486e-002	5.000000e+000	8.591872e-004
2.003679250215714e-002	5.000000e+000	5.831667e-004
2.003817087455568e-002	5.000000e+000	3.957204e-004
2.003954820722440e-002	5.000000e+000	2.692696e-004
2.004104016773701e-002	5.000000e+000	1.781413e-004
